Date,Closing price   XAU/USD (Troy Ounce=31.1035 grams),Change Price,Change %,Indian Rs (85.53),UAE Dirham AED ( 3.67), Sri Lankan Rupee LKR (295.40),South African Rand R(19.10),Singapore Dollar sD  (1.34),Pakistani Rupee R(279.66),Japanese Yen (145.53),Chinese Yuan (7.72), Canadian Dollar (1.42), Australian Dollar AUD(1.64),Malaysian Ringgit RM (4.44),Russion ruble R(84.44)
"Nov 17, 2022","1,760.80",-12.20,-0.688099267,150601.224,6462.136,520140.32,33631.28,2359.472,492425.328,256249.224,13593.376,2500.336,2887.712,7817.952,148681.952
"Nov 16, 2022","1,773.00",-0.80,-0.045100913,151644.69,6506.91,523744.2,33864.3,2375.82,495837.18,258024.69,13687.56,2517.66,2907.72,7872.12,149712.12
"Nov 15, 2022","1,773.80",0.20,0.0112765,151713.114,6509.846,523980.52,33879.58,2376.892,496060.908,258141.114,13693.736,2518.796,2909.032,7875.672,149779.672
"Nov 14, 2022","1,773.60",7.60,0.430351076,151696.008,6509.112,523921.44,33875.76,2376.624,496004.976,258112.008,13692.192,2518.512,2908.704,7874.784,149762.784
"Nov 11, 2022","1,766.00",15.70,0.896989088,151045.98,6481.22,521676.4,33730.6,2366.44,493879.56,257005.98,13633.52,2507.72,2896.24,7841.04,149121.04
"Nov 10, 2022","1,750.30",40.20,2.350739723,149703.159,6423.601,517038.62,33430.73,2345.402,489488.898,254721.159,13512.316,2485.426,2870.492,7771.332,147795.332
"Nov 9, 2022","1,710.10",-2.00,-0.116815607,146264.853,6276.067,505163.54,32662.91,2291.534,478246.566,248870.853,13201.972,2428.342,2804.564,7592.844,144400.844
"Nov 8, 2022","1,712.10",35.60,2.123471518,146435.913,6283.407,505754.34,32701.11,2294.214,478805.886,249161.913,13217.412,2431.182,2807.844,7601.724,144569.724
"Nov 7, 2022","1,676.50",4.00,0.23916293,143391.045,6152.755,495238.1,32021.15,2246.51,468849.99,243981.045,12942.58,2380.63,2749.46,7443.66,141563.66
"Nov 4, 2022","1,672.50",45.20,2.777607079,143048.925,6138.075,494056.5,31944.75,2241.15,467731.35,243398.925,12911.7,2374.95,2742.9,7425.9,141225.9
"Nov 3, 2022","1,627.30",-18.40,-1.118065261,139182.969,5972.191,480704.42,31081.43,2180.582,455090.718,236820.969,12562.756,2310.766,2668.772,7225.212,137409.212
"Nov 2, 2022","1,645.70",0.70,0.042553191,140756.721,6039.719,486139.78,31432.87,2205.238,460236.462,239498.721,12704.804,2336.894,2698.948,7306.908,138962.908
"Nov 1, 2022","1,645.00",9.10,0.556268721,140696.85,6037.15,485933,31419.5,2204.3,460040.7,239396.85,12699.4,2335.9,2697.8,7303.8,138903.8
"Oct 31, 2022","1,635.90",-3.70,-0.225664796,139918.527,6003.753,483244.86,31245.69,2192.106,457495.794,238072.527,12629.148,2322.978,2682.876,7263.396,138135.396
"Oct 28, 2022","1,639.60",-21.10,-1.270548564,140234.988,6017.332,484337.84,31316.36,2197.064,458530.536,238610.988,12657.712,2328.232,2688.944,7279.824,138447.824
"Oct 27, 2022","1,660.70",-3.30,-0.198317308,142039.671,6094.769,490570.78,31719.37,2225.338,464431.362,241681.671,12820.604,2358.194,2723.548,7373.508,140229.508
"Oct 26, 2022","1,664.00",11.20,0.677637948,142321.92,6106.88,491545.6,31782.4,2229.76,465354.24,242161.92,12846.08,2362.88,2728.96,7388.16,140508.16
"Oct 25, 2022","1,652.80",4.10,0.248680779,141363.984,6065.776,488237.12,31568.48,2214.752,462222.048,240531.984,12759.616,2346.976,2710.592,7338.432,139562.432
"Oct 24, 2022","1,648.70",-2.30,-0.139309509,141013.311,6050.729,487025.98,31490.17,2209.258,461075.442,239935.311,12727.964,2341.154,2703.868,7320.228,139216.228
"Oct 21, 2022","1,651.00",20.20,1.238655874,141210.03,6059.17,487705.4,31534.1,2212.34,461718.66,240270.03,12745.72,2344.42,2707.64,7330.44,139410.44
"Oct 20, 2022","1,630.80",3.30,0.202764977,139482.324,5985.036,481738.32,31148.28,2185.272,456069.528,237330.324,12589.776,2315.736,2674.512,7240.752,137704.752
"Oct 19, 2022","1,627.50",-21.50,-1.303820497,139200.075,5972.925,480763.5,31085.25,2180.85,455146.65,236850.075,12564.3,2311.05,2669.1,7226.1,137426.1
"Oct 18, 2022","1,649.00",-8.00,-0.482800241,141038.97,6051.83,487114.6,31495.9,2209.66,461159.34,239978.97,12730.28,2341.58,2704.36,7321.56,139241.56
"Oct 17, 2022","1,657.00",15.30,0.931960772,141723.21,6081.19,489477.8,31648.7,2220.38,463396.62,241143.21,12792.04,2352.94,2717.48,7357.08,139917.08
"Oct 14, 2022","1,641.70",-28.30,-1.694610778,140414.601,6025.039,484958.18,31356.47,2199.878,459117.822,238916.601,12673.924,2331.214,2692.388,7289.148,138625.148
"Oct 13, 2022","1,670.00",-0.30,-0.017960845,142835.1,6128.9,493318,31897,2237.8,467032.2,243035.1,12892.4,2371.4,2738.8,7414.8,141014.8
